"id","NOVANA","Naturlig","Mark","SRI","log_hojde","log_TWI","log_veghojde","dist_aa","log_dist_kant","log_pH","C","N","P","jord","graesning","markareal"
"18",1.07987189413151,1.2073249582468,0.533586994626107,-1.69055488653229,0.825427760615395,2.82023990964036,0.502626542199579,-0.733751219850466,0.981442795224317,-1.08135685582778,1.89807356156075,1.56841604845194,0.252180272236345,"mvj","1","40"
"19",1.18563911148533,1.30118322488671,2.16798864925742,1.05633966849277,-1.26790266514518,-1.13834654547389,-0.188865004918906,-1.38018857253419,-0.813985798415037,0.0964942887643701,-1.99661526170818,-2.18374345338831,-0.958892287290683,"mvj","1","40"
"20",-0.98582493156516,-0.989363626511263,-1.23096289025822,-0.281783145236715,0.825427760615395,-0.0975163268183844,-0.39961104609031,0.834223999540231,0.974227222492922,-0.216107679685607,-0.748802337748233,-0.749094232096449,-1.03212517667429,"ager","1","41"
"21",-1.02053993050223,-0.927550601348704,-0.898573798355052,-0.33019761901413,-1.26790266514518,-0.251304709757795,1.1503153534581,0.231353303977752,-0.111402901070661,2.06977745522694,-0.80552110701914,-1.08016712931765,-0.782921683557352,"ager","1","41"
"22",-0.939328631766102,-0.742116645473568,-0.924201588808426,0.166430415058452,0.0528417845235741,0.930520840630486,0.783772197162804,0.792764042979099,0.462290119209245,0.24054955529456,-0.55028664530006,-0.41802133487525,0.94121053584202,"ager","1","41"
"23",-0.12139891184097,-0.108393039071763,-1.48616960086848,-0.280650367577685,-1.26790266514518,0.0326676077376485,1.31390864602671,0.39140817908067,0.0287470327560356,-0.0173068797880955,1.11346391997987,1.23734315123074,-0.7262157086566,"ager","1","41"
"24",-1.27775880501948,-2.46113497415805,-1.72652794226118,-2.28348324792328,-1.26790266514518,1.36430786207039,-0.39961104609031,-0.801475893577207,0.468793473258605,-0.36840353576968,-1.11747433800913,-1.08016712931765,0.336896065875803,"ager","1","42"
"25",-1.00879424407397,-1.63968163275404,-1.83563111506902,1.45961294608225,-0.495316689053358,-0.513334897042688,-1.17908566152159,-0.290600435645712,0.429514982301414,0.397726359690485,-0.796067978807322,-0.859451864503516,-0.264391178087833,"ager","1","42"
"26",-0.388623464528149,-0.0535145320720102,-1.13603056573216,0.0677076729267079,1.37358623419233,-1.43650076681732,-0.889131596663411,0.0851554171822796,-2.21352964641938,2.13315166680004,-0.786614850595504,-0.749094232096449,1.05693778107834,"ager","1","42"
"27",3.37880477869358,1.89104258897656,2.37486822031324,0.196071369416377,-1.26790266514518,2.48017677558564,0.502626542199579,-0.625520975666285,0.691178276248778,0.643165622027393,-0.143802132191895,-0.307663702468185,-1.48317289491115,"mvj","1","43"
"28",0.732840259766295,1.07325901146821,0.297212205973881,2.03132529904623,1.37358623419233,-0.789424698274555,-1.5105943654337,-1.40977721989969,-1.77769329099681,-3.16564597196323,-0.361224081063704,-0.41802133487525,-0.0599237724499604,"mvj","1","43"
"29",-0.11225632956591,0.566126606648528,0.0746049813078503,-0.702450732445981,-1.26790266514518,-0.242331232849704,0.182586223151611,-0.28728583900205,-0.967955144063425,0.0316566266091709,0.149244842374456,0.13376682716008,-1.54007696333016,"mvj","1","43"
"30",0.480356951942896,0.961922320768884,0.500401958987423,0.304935423780604,1.37358623419233,-1.00293345776894,-0.291842358661616,-0.881791234863505,-1.42941914097286,-0.283449262369404,-0.380130337487339,-0.307663702468185,-1.09169004860633,"mvj","1","43"
"31",0.286721359805406,0.576659812464409,-0.738757391014263,-1.27055626669194,0.0528417845235741,-0.521723258900517,0.783772197162804,-0.996567614676983,-0.335113390385774,-0.317326483604452,0.574635611906257,0.464839724381279,-0.904142205590189,"mvj","1","43"
"32",0.642577879841619,1.0285880543625,0.600550899174038,1.22194129059887,-0.495316689053358,-0.682367962107863,2.69886322930539,-0.151673299214528,0.256784006249163,0.0479136858918346,0.602994996541711,0.354482091974212,-1.30828727443639,"mvj","1","43"
"33",0.670130481202394,1.02707439532078,0.871128790252839,-1.68207910822442,0.0528417845235741,-0.400793302129973,-0.756717900086381,-0.991879511285315,0.838289515248578,-0.717211665385965,-0.455755363181882,-0.528378967282317,-1.59298387376492,"mvj","1","43"
